path,height,width,px_size,mm_size,size_class,cluster
/home/aubrey/Desktop/gpepp_nursery/35/35-044.png,8,7,8,0.2199312714776632,0.2-to-0.3-mm,0
/home/aubrey/Desktop/gpepp_nursery/35/35-010.png,8,10,10,0.274914089347079,0.2-to-0.3-mm,1
/home/aubrey/Desktop/gpepp_nursery/35/35-028.png,11,3,11,0.3024054982817869,0.3-to-0.4-mm,0
/home/aubrey/Desktop/gpepp_nursery/35/35-030.png,6,8,8,0.2199312714776632,0.2-to-0.3-mm,1
/home/aubrey/Desktop/gpepp_nursery/35/35-054.png,2,2,2,0.0549828178694158,less-than-0.1-mm,-1
/home/aubrey/Desktop/gpepp_nursery/35/35-024.png,40,8,40,1.0996563573883162,1-to-2-mm,0
/home/aubrey/Desktop/gpepp_nursery/35/35-032.png,144,46,144,3.9587628865979374,3-to-4-mm,1
/home/aubrey/Desktop/gpepp_nursery/35/35-027.png,12,99,99,2.7216494845360826,2-to-3-mm,1
/home/aubrey/Desktop/gpepp_nursery/35/35-047.png,6,7,7,0.1924398625429553,0.1-to-0.2-mm,1
/home/aubrey/Desktop/gpepp_nursery/35/35-009.png,8,7,8,0.2199312714776632,0.2-to-0.3-mm,1
/home/aubrey/Desktop/gpepp_nursery/35/35-040.png,9,23,23,0.6323024054982818,0.6-to-0.7-mm,0
/home/aubrey/Desktop/gpepp_nursery/35/35-026.png,107,49,107,2.941580756013746,2-to-3-mm,1
/home/aubrey/Desktop/gpepp_nursery/35/35-029.png,8,7,8,0.2199312714776632,0.2-to-0.3-mm,1
/home/aubrey/Desktop/gpepp_nursery/35/35-011.png,7,7,7,0.1924398625429553,0.1-to-0.2-mm,1
/home/aubrey/Desktop/gpepp_nursery/35/35-046.png,7,7,7,0.1924398625429553,0.1-to-0.2-mm,1
/home/aubrey/Desktop/gpepp_nursery/35/35-015.png,9,23,23,0.6323024054982818,0.6-to-0.7-mm,0
/home/aubrey/Desktop/gpepp_nursery/35/35-021.png,19,10,19,0.5223367697594502,0.5-to-0.6-mm,0
/home/aubrey/Desktop/gpepp_nursery/35/35-006.png,7,7,7,0.1924398625429553,0.1-to-0.2-mm,1
/home/aubrey/Desktop/gpepp_nursery/35/35-012.png,26,19,26,0.7147766323024055,0.7-to-0.8-mm,0
/home/aubrey/Desktop/gpepp_nursery/35/35-005.png,14,9,14,0.3848797250859107,0.3-to-0.4-mm,1
/home/aubrey/Desktop/gpepp_nursery/35/35-017.png,8,7,8,0.2199312714776632,0.2-to-0.3-mm,0
/home/aubrey/Desktop/gpepp_nursery/35/35-014.png,8,8,8,0.2199312714776632,0.2-to-0.3-mm,0
/home/aubrey/Desktop/gpepp_nursery/35/35-016.png,10,26,26,0.7147766323024055,0.7-to-0.8-mm,0
/home/aubrey/Desktop/gpepp_nursery/35/35-034.png,8,7,8,0.2199312714776632,0.2-to-0.3-mm,0
/home/aubrey/Desktop/gpepp_nursery/35/35-048.png,7,9,9,0.2474226804123711,0.2-to-0.3-mm,1
/home/aubrey/Desktop/gpepp_nursery/35/35-018.png,24,11,24,0.6597938144329897,0.6-to-0.7-mm,0
/home/aubrey/Desktop/gpepp_nursery/35/35-041.png,18,11,18,0.4948453608247423,0.4-to-0.5-mm,1
/home/aubrey/Desktop/gpepp_nursery/35/35-053.png,11,30,30,0.8247422680412371,0.8-to-0.9-mm,0
/home/aubrey/Desktop/gpepp_nursery/35/35-052.png,7,6,7,0.1924398625429553,0.1-to-0.2-mm,1
/home/aubrey/Desktop/gpepp_nursery/35/35-019.png,7,6,7,0.1924398625429553,0.1-to-0.2-mm,1
/home/aubrey/Desktop/gpepp_nursery/35/35-002.png,7,7,7,0.1924398625429553,0.1-to-0.2-mm,1
/home/aubrey/Desktop/gpepp_nursery/35/35-036.png,6,7,7,0.1924398625429553,0.1-to-0.2-mm,1
/home/aubrey/Desktop/gpepp_nursery/35/35-031.png,7,7,7,0.1924398625429553,0.1-to-0.2-mm,1
/home/aubrey/Desktop/gpepp_nursery/35/35-039.png,14,14,14,0.3848797250859107,0.3-to-0.4-mm,0
/home/aubrey/Desktop/gpepp_nursery/35/35-051.png,8,10,10,0.274914089347079,0.2-to-0.3-mm,1
/home/aubrey/Desktop/gpepp_nursery/35/35-007.png,10,7,10,0.274914089347079,0.2-to-0.3-mm,1
/home/aubrey/Desktop/gpepp_nursery/35/35-033.png,12,17,17,0.4673539518900343,0.4-to-0.5-mm,1
/home/aubrey/Desktop/gpepp_nursery/35/35-035.png,9,18,18,0.4948453608247423,0.4-to-0.5-mm,0
/home/aubrey/Desktop/gpepp_nursery/35/35-004.png,7,8,8,0.2199312714776632,0.2-to-0.3-mm,1
/home/aubrey/Desktop/gpepp_nursery/35/35-049.png,14,7,14,0.3848797250859107,0.3-to-0.4-mm,0
/home/aubrey/Desktop/gpepp_nursery/35/35-055.png,113,47,113,3.106529209621993,3-to-4-mm,1
/home/aubrey/Desktop/gpepp_nursery/35/35-001.png,10,17,17,0.4673539518900343,0.4-to-0.5-mm,1
/home/aubrey/Desktop/gpepp_nursery/35/35-025.png,6,7,7,0.1924398625429553,0.1-to-0.2-mm,1
/home/aubrey/Desktop/gpepp_nursery/33/33-110.png,186,33,186,5.11340206185567,5-to-6-mm,0
/home/aubrey/Desktop/gpepp_nursery/33/33-050.png,9,24,24,0.6597938144329897,0.6-to-0.7-mm,0
/home/aubrey/Desktop/gpepp_nursery/33/33-065.png,8,7,8,0.2199312714776632,0.2-to-0.3-mm,0
/home/aubrey/Desktop/gpepp_nursery/33/33-078.png,17,7,17,0.4673539518900343,0.4-to-0.5-mm,1
/home/aubrey/Desktop/gpepp_nursery/33/33-038.png,12,12,12,0.3298969072164948,0.3-to-0.4-mm,1
/home/aubrey/Desktop/gpepp_nursery/33/33-081.png,5,4,5,0.1374570446735395,0.1-to-0.2-mm,0
/home/aubrey/Desktop/gpepp_nursery/33/33-134.png,8,7,8,0.2199312714776632,0.2-to-0.3-mm,0
/home/aubrey/Desktop/gpepp_nursery/33/33-024.png,19,8,19,0.5223367697594502,0.5-to-0.6-mm,0
/home/aubrey/Desktop/gpepp_nursery/33/33-126.png,7,9,9,0.2474226804123711,0.2-to-0.3-mm,0
/home/aubrey/Desktop/gpepp_nursery/33/33-072.png,15,8,15,0.4123711340206185,0.4-to-0.5-mm,1
/home/aubrey/Desktop/gpepp_nursery/33/33-047.png,8,6,8,0.2199312714776632,0.2-to-0.3-mm,0
/home/aubrey/Desktop/gpepp_nursery/33/33-099.png,7,8,8,0.2199312714776632,0.2-to-0.3-mm,1
/home/aubrey/Desktop/gpepp_nursery/33/33-104.png,6,8,8,0.2199312714776632,0.2-to-0.3-mm,1
/home/aubrey/Desktop/gpepp_nursery/33/33-011.png,7,4,7,0.1924398625429553,0.1-to-0.2-mm,0
/home/aubrey/Desktop/gpepp_nursery/33/33-118.png,7,10,10,0.274914089347079,0.2-to-0.3-mm,0
/home/aubrey/Desktop/gpepp_nursery/33/33-083.png,5,2,5,0.1374570446735395,0.1-to-0.2-mm,0
/home/aubrey/Desktop/gpepp_nursery/33/33-074.png,9,7,9,0.2474226804123711,0.2-to-0.3-mm,1
/home/aubrey/Desktop/gpepp_nursery/33/33-133.png,7,7,7,0.1924398625429553,0.1-to-0.2-mm,1
/home/aubrey/Desktop/gpepp_nursery/33/33-018.png,10,7,10,0.274914089347079,0.2-to-0.3-mm,0
/home/aubrey/Desktop/gpepp_nursery/33/33-010.png,8,9,9,0.2474226804123711,0.2-to-0.3-mm,1
/home/aubrey/Desktop/gpepp_nursery/33/33-080.png,11,11,11,0.3024054982817869,0.3-to-0.4-mm,1
/home/aubrey/Desktop/gpepp_nursery/33/33-021.png,16,7,16,0.4398625429553264,0.4-to-0.5-mm,1
/home/aubrey/Desktop/gpepp_nursery/33/33-086.png,11,12,12,0.3298969072164948,0.3-to-0.4-mm,0
/home/aubrey/Desktop/gpepp_nursery/33/33-123.png,7,7,7,0.1924398625429553,0.1-to-0.2-mm,3
/home/aubrey/Desktop/gpepp_nursery/33/33-028.png,16,28,28,0.7697594501718213,0.7-to-0.8-mm,0
/home/aubrey/Desktop/gpepp_nursery/33/33-031.png,7,8,8,0.2199312714776632,0.2-to-0.3-mm,0
/home/aubrey/Desktop/gpepp_nursery/33/33-105.png,7,7,7,0.1924398625429553,0.1-to-0.2-mm,1
/home/aubrey/Desktop/gpepp_nursery/33/33-085.png,3,10,10,0.274914089347079,0.2-to-0.3-mm,0
/home/aubrey/Desktop/gpepp_nursery/33/33-119.png,25,9,25,0.6872852233676976,0.6-to-0.7-mm,0
/home/aubrey/Desktop/gpepp_nursery/33/33-026.png,7,8,8,0.2199312714776632,0.2-to-0.3-mm,0
/home/aubrey/Desktop/gpepp_nursery/33/33-049.png,9,9,9,0.2474226804123711,0.2-to-0.3-mm,0
/home/aubrey/Desktop/gpepp_nursery/33/33-130.png,8,9,9,0.2474226804123711,0.2-to-0.3-mm,1
/home/aubrey/Desktop/gpepp_nursery/33/33-107.png,7,7,7,0.1924398625429553,0.1-to-0.2-mm,1
/home/aubrey/Desktop/gpepp_nursery/33/33-046.png,7,8,8,0.2199312714776632,0.2-to-0.3-mm,0
/home/aubrey/Desktop/gpepp_nursery/33/33-092.png,7,9,9,0.2474226804123711,0.2-to-0.3-mm,0
/home/aubrey/Desktop/gpepp_nursery/33/33-052.png,6,11,11,0.3024054982817869,0.3-to-0.4-mm,1
/home/aubrey/Desktop/gpepp_nursery/33/33-006.png,7,7,7,0.1924398625429553,0.1-to-0.2-mm,1
/home/aubrey/Desktop/gpepp_nursery/33/33-036.png,8,7,8,0.2199312714776632,0.2-to-0.3-mm,0
